PHL|12171109|471651|14943270|2453668
Manila|13356600|1566029|13578307|1724543
Cebu|13612912|1046562|13926298|1270625
Layte|13755680|1104856|14028609|1299992
KOR|13727287|3902897|14823506|4686663
SLE|-1566923|763488|-1058361|1127096
Freetown|-1482185|909316|-1440100|952267
Makeni|-1354497|978986|-1327730|1006303
Bo|-1317727|878275|-1296192|900254
Kenema|-1260465|864425|-1230537|894969
Koidu|-1233375|952745|-1212314|974240
